instancia, selectionSort, mergeSort
8192, 0.073132663, 0.001375588
8192, 0.075273965, 0.001464621
8192, 0.073266546, 0.001374891
8192, 0.074978797, 0.001506445
8192, 0.075872391, 0.001426232
8192, 0.075096946, 0.001415403
8192, 0.077372261, 0.001557141
8192, 0.074393059, 0.00158075
8192, 0.076434044, 0.001419927
8192, 0.076937768, 0.001414133
8192, 0.075371696, 0.001507078
8192, 0.077896633, 0.001578456
8192, 0.075994644, 0.001592907
8192, 0.077603706, 0.001540414
8192, 0.074667709, 0.001520042
8192, 0.075843932, 0.001438783
8192, 0.075469829, 0.001434258
8192, 0.074452646, 0.001272531
8192, 0.075146538, 0.001469406
8192, 0.07534593, 0.001433267
8192, 0.075550562, 0.001390639
8192, 0.07440889, 0.001391917
8192, 0.073546777, 0.001428143
8192, 0.073924952, 0.001385337
8192, 0.073385561, 0.001396152
8192, 0.072854449, 0.001463113
8192, 0.074315379, 0.001428955
8192, 0.07267346, 0.00138204
8192, 0.074533215, 0.001474841
8192, 0.073429463, 0.001386211
8192, 0.072942654, 0.001387952
8192, 0.074724436, 0.001393261
8192, 0.07277602, 0.00169882
8192, 0.074623631, 0.001390508
8192, 0.073390182, 0.00138943
8192, 0.073556622, 0.001795723
8192, 0.074388119, 0.00139261
8192, 0.072795048, 0.001383097
8192, 0.07505571, 0.001976915
8192, 0.07536426, 0.001430374
8192, 0.072739056, 0.001450563
8192, 0.074287889, 0.001538423
8192, 0.078620717, 0.00158919
8192, 0.074800849, 0.001911523
8192, 0.077387026, 0.001472753
8192, 0.077376907, 0.00155841
8192, 0.078085952, 0.001519287
8192, 0.077141, 0.001598346
8192, 0.072991245, 0.001386268
8192, 0.073885341, 0.001527192
8192, 0.072322109, 0.001623046
8192, 0.07462715, 0.001385288
8192, 0.073586797, 0.001389525
8192, 0.074096769, 0.001605834
8192, 0.069896663, 0.00149493
8192, 0.077735249, 0.00152247
8192, 0.077485236, 0.001403496
8192, 0.073345977, 0.001569883
8192, 0.076963078, 0.001444689
8192, 0.07598809, 0.001570762
8192, 0.073721249, 0.001386875
8192, 0.074170542, 0.001520103
8192, 0.072804726, 0.001402581
8192, 0.071746742, 0.001476916
8192, 0.07578288, 0.00121511
8192, 0.073603099, 0.001408012
8192, 0.074684383, 0.001393353
8192, 0.073956706, 0.001396769
8192, 0.074278363, 0.00138603
8192, 0.074598652, 0.001785023
8192, 0.075442869, 0.001573618
8192, 0.071529295, 0.0012152
8192, 0.084809849, 0.001776399
8192, 0.087532249, 0.0019974
8192, 0.072764696, 0.001476387
8192, 0.072862979, 0.00127305
8192, 0.076629285, 0.001468157
8192, 0.076968778, 0.001457856
8192, 0.073858484, 0.002031146
8192, 0.073540953, 0.001359035
8192, 0.080249232, 0.001627215
8192, 0.081132197, 0.001418091
8192, 0.075525382, 0.001428687
8192, 0.078498942, 0.001695871
8192, 0.076535556, 0.001387356
8192, 0.071259438, 0.001375997
8192, 0.073549199, 0.001335416
8192, 0.073858554, 0.001625009
8192, 0.072820144, 0.001406444
8192, 0.075168565, 0.00137499
8192, 0.073635448, 0.001463759
16384, 0.302122639, 0.00285622
16384, 0.29632846, 0.002906459
16384, 0.306929536, 0.003189932
16384, 0.303840941, 0.003202737
16384, 0.315761205, 0.003080918
16384, 0.302289966, 0.002888821
16384, 0.315196163, 0.003240038
16384, 0.317798524, 0.003189942
16384, 0.301575456, 0.00290824
16384, 0.301627175, 0.002942579
16384, 0.299734483, 0.002903587
16384, 0.365234461, 0.005392078
16384, 0.371828088, 0.003518238
16384, 0.319579427, 0.002937117
16384, 0.322590141, 0.00321082
16384, 0.320239944, 0.00308297
16384, 0.302394627, 0.003012648
16384, 0.297148975, 0.002602702
16384, 0.281749828, 0.003129649
16384, 0.308149617, 0.003046414
16384, 0.299300471, 0.002892887
16384, 0.311790084, 0.003086381
16384, 0.311181121, 0.003233736
16384, 0.305387391, 0.002996542
16384, 0.30920431, 0.003024629
16384, 0.297181165, 0.00271786
16384, 0.305120866, 0.002956965
16384, 0.304856991, 0.002965055
16384, 0.347077079, 0.00420576
16384, 0.497568496, 0.003780362
16384, 0.373297873, 0.003880337
